Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
08 Barcelona;65 y más;Españoles;Ambos sexos;2021;1.059.175
08 Barcelona;65 y más;Españoles;Ambos sexos;2020;1.055.834
08 Barcelona;65 y más;Españoles;Ambos sexos;2019;1.041.718
08 Barcelona;65 y más;Españoles;Hombres;2021;447.928
08 Barcelona;65 y más;Españoles;Hombres;2020;446.745
08 Barcelona;65 y más;Españoles;Hombres;2019;440.376
08 Barcelona;65 y más;Españoles;Mujeres;2021;611.247
08 Barcelona;65 y más;Españoles;Mujeres;2020;609.089
08 Barcelona;65 y más;Españoles;Mujeres;2019;601.342
08 Barcelona;65 y más;Extranjeros;Ambos sexos;2021;31.726
08 Barcelona;65 y más;Extranjeros;Ambos sexos;2020;31.505
08 Barcelona;65 y más;Extranjeros;Ambos sexos;2019;27.526
08 Barcelona;65 y más;Extranjeros;Hombres;2021;13.434
08 Barcelona;65 y más;Extranjeros;Hombres;2020;13.124
08 Barcelona;65 y más;Extranjeros;Hombres;2019;11.467
08 Barcelona;65 y más;Extranjeros;Mujeres;2021;18.292
08 Barcelona;65 y más;Extranjeros;Mujeres;2020;18.381
08 Barcelona;65 y más;Extranjeros;Mujeres;2019;16.059
08 Barcelona;65 y más;% Extranjeros;Ambos sexos;2021;2,91
08 Barcelona;65 y más;% Extranjeros;Ambos sexos;2020;2,90
08 Barcelona;65 y más;% Extranjeros;Ambos sexos;2019;2,57
08 Barcelona;65 y más;% Extranjeros;Hombres;2021;2,91
08 Barcelona;65 y más;% Extranjeros;Hombres;2020;2,85
08 Barcelona;65 y más;% Extranjeros;Hombres;2019;2,54
08 Barcelona;65 y más;% Extranjeros;Mujeres;2021;2,91
08 Barcelona;65 y más;% Extranjeros;Mujeres;2020;2,93
08 Barcelona;65 y más;% Extranjeros;Mujeres;2019;2,60
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.154.334
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.159.443
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.152.651
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2021;557.416
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2020;559.798
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2019;556.212
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2021;596.918
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2020;599.645
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2019;596.439
48 Bizkaia;TOTAL EDADES;Españoles;Ambos sexos;2021;1.064.727
48 Bizkaia;TOTAL EDADES;Españoles;Ambos sexos;2020;1.071.892
48 Bizkaia;TOTAL EDADES;Españoles;Ambos sexos;2019;1.074.473
48 Bizkaia;TOTAL EDADES;Españoles;Hombres;2021;512.619
48 Bizkaia;TOTAL EDADES;Españoles;Hombres;2020;516.333
48 Bizkaia;TOTAL EDADES;Españoles;Hombres;2019;517.502
48 Bizkaia;TOTAL EDADES;Españoles;Mujeres;2021;552.108
48 Bizkaia;TOTAL EDADES;Españoles;Mujeres;2020;555.559
48 Bizkaia;TOTAL EDADES;Españoles;Mujeres;2019;556.971
48 Bizkaia;TOTAL EDADES;Extranjeros;Ambos sexos;2021;89.607
48 Bizkaia;TOTAL EDADES;Extranjeros;Ambos sexos;2020;87.551
48 Bizkaia;TOTAL EDADES;Extranjeros;Ambos sexos;2019;78.178
48 Bizkaia;TOTAL EDADES;Extranjeros;Hombres;2021;44.797
48 Bizkaia;TOTAL EDADES;Extranjeros;Hombres;2020;43.465
48 Bizkaia;TOTAL EDADES;Extranjeros;Hombres;2019;38.710
48 Bizkaia;TOTAL EDADES;Extranjeros;Mujeres;2021;44.810
48 Bizkaia;TOTAL EDADES;Extranjeros;Mujeres;2020;44.086
48 Bizkaia;TOTAL EDADES;Extranjeros;Mujeres;2019;39.468
48 Bizkaia;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;7,76
48 Bizkaia;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;7,55
48 Bizkaia;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;6,78
48 Bizkaia;TOTAL EDADES;% Extranjeros;Hombres;2021;8,04
48 Bizkaia;TOTAL EDADES;% Extranjeros;Hombres;2020;7,76
48 Bizkaia;TOTAL EDADES;% Extranjeros;Hombres;2019;6,96
48 Bizkaia;TOTAL EDADES;% Extranjeros;Mujeres;2021;7,51
48 Bizkaia;TOTAL EDADES;% Extranjeros;Mujeres;2020;7,35
48 Bizkaia;TOTAL EDADES;% Extranjeros;Mujeres;2019;6,62
48 Bizkaia;0-15 años;TOTAL;Ambos sexos;2021;157.088
48 Bizkaia;0-15 años;TOTAL;Ambos sexos;2020;160.393
48 Bizkaia;0-15 años;TOTAL;Ambos sexos;2019;161.688
48 Bizkaia;0-15 años;TOTAL;Hombres;2021;80.823
48 Bizkaia;0-15 años;TOTAL;Hombres;2020;82.491
48 Bizkaia;0-15 años;TOTAL;Hombres;2019;82.976
48 Bizkaia;0-15 años;TOTAL;Mujeres;2021;76.265
48 Bizkaia;0-15 años;TOTAL;Mujeres;2020;77.902
48 Bizkaia;0-15 años;TOTAL;Mujeres;2019;78.712
48 Bizkaia;0-15 años;Españoles;Ambos sexos;2021;143.937
48 Bizkaia;0-15 años;Españoles;Ambos sexos;2020;147.613
48 Bizkaia;0-15 años;Españoles;Ambos sexos;2019;150.066
48 Bizkaia;0-15 años;Españoles;Hombres;2021;73.949
48 Bizkaia;0-15 años;Españoles;Hombres;2020;75.820
48 Bizkaia;0-15 años;Españoles;Hombres;2019;76.997
48 Bizkaia;0-15 años;Españoles;Mujeres;2021;69.988
48 Bizkaia;0-15 años;Españoles;Mujeres;2020;71.793
48 Bizkaia;0-15 años;Españoles;Mujeres;2019;73.069
48 Bizkaia;0-15 años;Extranjeros;Ambos sexos;2021;13.151
48 Bizkaia;0-15 años;Extranjeros;Ambos sexos;2020;12.780
48 Bizkaia;0-15 años;Extranjeros;Ambos sexos;2019;11.622
48 Bizkaia;0-15 años;Extranjeros;Hombres;2021;6.874
48 Bizkaia;0-15 años;Extranjeros;Hombres;2020;6.671
48 Bizkaia;0-15 años;Extranjeros;Hombres;2019;5.979
48 Bizkaia;0-15 años;Extranjeros;Mujeres;2021;6.277
48 Bizkaia;0-15 años;Extranjeros;Mujeres;2020;6.109
48 Bizkaia;0-15 años;Extranjeros;Mujeres;2019;5.643
48 Bizkaia;0-15 años;% Extranjeros;Ambos sexos;2021;8,37
48 Bizkaia;0-15 años;% Extranjeros;Ambos sexos;2020;7,97
48 Bizkaia;0-15 años;% Extranjeros;Ambos sexos;2019;7,19
48 Bizkaia;0-15 años;% Extranjeros;Hombres;2021;8,51
48 Bizkaia;0-15 años;% Extranjeros;Hombres;2020;8,09
48 Bizkaia;0-15 años;% Extranjeros;Hombres;2019;7,21
48 Bizkaia;0-15 años;% Extranjeros;Mujeres;2021;8,23
48 Bizkaia;0-15 años;% Extranjeros;Mujeres;2020;7,84
48 Bizkaia;0-15 años;% Extranjeros;Mujeres;2019;7,17
48 Bizkaia;16-64 años;TOTAL;Ambos sexos;2021;728.792
48 Bizkaia;16-64 años;TOTAL;Ambos sexos;2020;733.312
48 Bizkaia;16-64 años;TOTAL;Ambos sexos;2019;728.783
48 Bizkaia;16-64 años;TOTAL;Hombres;2021;363.873
48 Bizkaia;16-64 años;TOTAL;Hombres;2020;365.861
48 Bizkaia;16-64 años;TOTAL;Hombres;2019;363.501
48 Bizkaia;16-64 años;TOTAL;Mujeres;2021;364.919
48 Bizkaia;16-64 años;TOTAL;Mujeres;2020;367.451
48 Bizkaia;16-64 años;TOTAL;Mujeres;2019;365.282
48 Bizkaia;16-64 años;Españoles;Ambos sexos;2021;654.771
48 Bizkaia;16-64 años;Españoles;Ambos sexos;2020;660.804
48 Bizkaia;16-64 años;Españoles;Ambos sexos;2019;664.186
48 Bizkaia;16-64 años;Españoles;Hombres;2021;326.914
48 Bizkaia;16-64 años;Españoles;Hombres;2020;329.974
48 Bizkaia;16-64 años;Españoles;Hombres;2019;331.539
48 Bizkaia;16-64 años;Españoles;Mujeres;2021;327.857
48 Bizkaia;16-64 años;Españoles;Mujeres;2020;330.830
48 Bizkaia;16-64 años;Españoles;Mujeres;2019;332.647
48 Bizkaia;16-64 años;Extranjeros;Ambos sexos;2021;74.021
48 Bizkaia;16-64 años;Extranjeros;Ambos sexos;2020;72.508
48 Bizkaia;16-64 años;Extranjeros;Ambos sexos;2019;64.597
48 Bizkaia;16-64 años;Extranjeros;Hombres;2021;36.959
48 Bizkaia;16-64 años;Extranjeros;Hombres;2020;35.887
48 Bizkaia;16-64 años;Extranjeros;Hombres;2019;31.962
48 Bizkaia;16-64 años;Extranjeros;Mujeres;2021;37.062
48 Bizkaia;16-64 años;Extranjeros;Mujeres;2020;36.621
48 Bizkaia;16-64 años;Extranjeros;Mujeres;2019;32.635
48 Bizkaia;16-64 años;% Extranjeros;Ambos sexos;2021;10,16
48 Bizkaia;16-64 años;% Extranjeros;Ambos sexos;2020;9,89
48 Bizkaia;16-64 años;% Extranjeros;Ambos sexos;2019;8,86
48 Bizkaia;16-64 años;% Extranjeros;Hombres;2021;10,16
48 Bizkaia;16-64 años;% Extranjeros;Hombres;2020;9,81
48 Bizkaia;16-64 años;% Extranjeros;Hombres;2019;8,79
48 Bizkaia;16-64 años;% Extranjeros;Mujeres;2021;10,16
48 Bizkaia;16-64 años;% Extranjeros;Mujeres;2020;9,97
48 Bizkaia;16-64 años;% Extranjeros;Mujeres;2019;8,93
48 Bizkaia;65 y más;TOTAL;Ambos sexos;2021;268.454
48 Bizkaia;65 y más;TOTAL;Ambos sexos;2020;265.738
48 Bizkaia;65 y más;TOTAL;Ambos sexos;2019;262.180
48 Bizkaia;65 y más;TOTAL;Hombres;2021;112.720
48 Bizkaia;65 y más;TOTAL;Hombres;2020;111.446
48 Bizkaia;65 y más;TOTAL;Hombres;2019;109.735
48 Bizkaia;65 y más;TOTAL;Mujeres;2021;155.734
48 Bizkaia;65 y más;TOTAL;Mujeres;2020;154.292
48 Bizkaia;65 y más;TOTAL;Mujeres;2019;152.445
48 Bizkaia;65 y más;Españoles;Ambos sexos;2021;266.019
48 Bizkaia;65 y más;Españoles;Ambos sexos;2020;263.475
48 Bizkaia;65 y más;Españoles;Ambos sexos;2019;260.221
48 Bizkaia;65 y más;Españoles;Hombres;2021;111.756
48 Bizkaia;65 y más;Españoles;Hombres;2020;110.539
48 Bizkaia;65 y más;Españoles;Hombres;2019;108.966
48 Bizkaia;65 y más;Españoles;Mujeres;2021;154.263
48 Bizkaia;65 y más;Españoles;Mujeres;2020;152.936
48 Bizkaia;65 y más;Españoles;Mujeres;2019;151.255
48 Bizkaia;65 y más;Extranjeros;Ambos sexos;2021;2.435
48 Bizkaia;65 y más;Extranjeros;Ambos sexos;2020;2.263
48 Bizkaia;65 y más;Extranjeros;Ambos sexos;2019;1.959
48 Bizkaia;65 y más;Extranjeros;Hombres;2021;964
48 Bizkaia;65 y más;Extranjeros;Hombres;2020;907
48 Bizkaia;65 y más;Extranjeros;Hombres;2019;769
48 Bizkaia;65 y más;Extranjeros;Mujeres;2021;1.471
48 Bizkaia;65 y más;Extranjeros;Mujeres;2020;1.356
48 Bizkaia;65 y más;Extranjeros;Mujeres;2019;1.190
48 Bizkaia;65 y más;% Extranjeros;Ambos sexos;2021;0,91
48 Bizkaia;65 y más;% Extranjeros;Ambos sexos;2020;0,85
48 Bizkaia;65 y más;% Extranjeros;Ambos sexos;2019;0,75
48 Bizkaia;65 y más;% Extranjeros;Hombres;2021;0,86
48 Bizkaia;65 y más;% Extranjeros;Hombres;2020;0,81
48 Bizkaia;65 y más;% Extranjeros;Hombres;2019;0,70
48 Bizkaia;65 y más;% Extranjeros;Mujeres;2021;0,94
48 Bizkaia;65 y más;% Extranjeros;Mujeres;2020;0,88
48 Bizkaia;65 y más;% Extranjeros;Mujeres;2019;0,78
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2021;356.055
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2020;357.650
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2019;356.958
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2021;177.920
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2020;178.578
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2019;178.230
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2021;178.135
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2020;179.072
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2019;178.728
09 Burgos;TOTAL EDADES;Españoles;Ambos sexos;2021;327.177
09 Burgos;TOTAL EDADES;Españoles;Ambos sexos;2020;329.024
09 Burgos;TOTAL EDADES;Españoles;Ambos sexos;2019;330.488
09 Burgos;TOTAL EDADES;Españoles;Hombres;2021;163.420
09 Burgos;TOTAL EDADES;Españoles;Hombres;2020;164.333
09 Burgos;TOTAL EDADES;Españoles;Hombres;2019;165.067
09 Burgos;TOTAL EDADES;Españoles;Mujeres;2021;163.757
09 Burgos;TOTAL EDADES;Españoles;Mujeres;2020;164.691
09 Burgos;TOTAL EDADES;Españoles;Mujeres;2019;165.421
09 Burgos;TOTAL EDADES;Extranjeros;Ambos sexos;2021;28.878
09 Burgos;TOTAL EDADES;Extranjeros;Ambos sexos;2020;28.626
09 Burgos;TOTAL EDADES;Extranjeros;Ambos sexos;2019;26.470
09 Burgos;TOTAL EDADES;Extranjeros;Hombres;2021;14.500
09 Burgos;TOTAL EDADES;Extranjeros;Hombres;2020;14.245
09 Burgos;TOTAL EDADES;Extranjeros;Hombres;2019;13.163
09 Burgos;TOTAL EDADES;Extranjeros;Mujeres;2021;14.378
09 Burgos;TOTAL EDADES;Extranjeros;Mujeres;2020;14.381
09 Burgos;TOTAL EDADES;Extranjeros;Mujeres;2019;13.307
09 Burgos;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;8,11
09 Burgos;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;8,00
09 Burgos;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;7,42
09 Burgos;TOTAL EDADES;% Extranjeros;Hombres;2021;8,15
09 Burgos;TOTAL EDADES;% Extranjeros;Hombres;2020;7,98
09 Burgos;TOTAL EDADES;% Extranjeros;Hombres;2019;7,39
09 Burgos;TOTAL EDADES;% Extranjeros;Mujeres;2021;8,07
09 Burgos;TOTAL EDADES;% Extranjeros;Mujeres;2020;8,03
09 Burgos;TOTAL EDADES;% Extranjeros;Mujeres;2019;7,45
09 Burgos;0-15 años;TOTAL;Ambos sexos;2021;48.046
09 Burgos;0-15 años;TOTAL;Ambos sexos;2020;48.973
09 Burgos;0-15 años;TOTAL;Ambos sexos;2019;49.044
09 Burgos;0-15 años;TOTAL;Hombres;2021;24.709
09 Burgos;0-15 años;TOTAL;Hombres;2020;25.163
09 Burgos;0-15 años;TOTAL;Hombres;2019;25.162
09 Burgos;0-15 años;TOTAL;Mujeres;2021;23.337
09 Burgos;0-15 años;TOTAL;Mujeres;2020;23.810
09 Burgos;0-15 años;TOTAL;Mujeres;2019;23.882
09 Burgos;0-15 años;Españoles;Ambos sexos;2021;43.346
09 Burgos;0-15 años;Españoles;Ambos sexos;2020;44.245
09 Burgos;0-15 años;Españoles;Ambos sexos;2019;44.669
09 Burgos;0-15 años;Españoles;Hombres;2021;22.330
09 Burgos;0-15 años;Españoles;Hombres;2020;22.755
09 Burgos;0-15 años;Españoles;Hombres;2019;22.956
09 Burgos;0-15 años;Españoles;Mujeres;2021;21.016
09 Burgos;0-15 años;Españoles;Mujeres;2020;21.490
09 Burgos;0-15 años;Españoles;Mujeres;2019;21.713
09 Burgos;0-15 años;Extranjeros;Ambos sexos;2021;4.700
09 Burgos;0-15 años;Extranjeros;Ambos sexos;2020;4.728
09 Burgos;0-15 años;Extranjeros;Ambos sexos;2019;4.375
09 Burgos;0-15 años;Extranjeros;Hombres;2021;2.379
09 Burgos;0-15 años;Extranjeros;Hombres;2020;2.408
09 Burgos;0-15 años;Extranjeros;Hombres;2019;2.206
09 Burgos;0-15 años;Extranjeros;Mujeres;2021;2.321
09 Burgos;0-15 años;Extranjeros;Mujeres;2020;2.320
09 Burgos;0-15 años;Extranjeros;Mujeres;2019;2.169
09 Burgos;0-15 años;% Extranjeros;Ambos sexos;2021;9,78
09 Burgos;0-15 años;% Extranjeros;Ambos sexos;2020;9,65
09 Burgos;0-15 años;% Extranjeros;Ambos sexos;2019;8,92
09 Burgos;0-15 años;% Extranjeros;Hombres;2021;9,63
09 Burgos;0-15 años;% Extranjeros;Hombres;2020;9,57
09 Burgos;0-15 años;% Extranjeros;Hombres;2019;8,77
09 Burgos;0-15 años;% Extranjeros;Mujeres;2021;9,95
09 Burgos;0-15 años;% Extranjeros;Mujeres;2020;9,74
09 Burgos;0-15 años;% Extranjeros;Mujeres;2019;9,08
09 Burgos;16-64 años;TOTAL;Ambos sexos;2021;221.946
09 Burgos;16-64 años;TOTAL;Ambos sexos;2020;222.888
09 Burgos;16-64 años;TOTAL;Ambos sexos;2019;223.202
09 Burgos;16-64 años;TOTAL;Hombres;2021;114.112
09 Burgos;16-64 años;TOTAL;Hombres;2020;114.491
09 Burgos;16-64 años;TOTAL;Hombres;2019;114.775
09 Burgos;16-64 años;TOTAL;Mujeres;2021;107.834
09 Burgos;16-64 años;TOTAL;Mujeres;2020;108.397
09 Burgos;16-64 años;TOTAL;Mujeres;2019;108.427
09 Burgos;16-64 años;Españoles;Ambos sexos;2021;198.752
09 Burgos;16-64 años;Españoles;Ambos sexos;2020;199.900
09 Burgos;16-64 años;Españoles;Ambos sexos;2019;201.878
09 Burgos;16-64 años;Españoles;Hombres;2021;102.439
09 Burgos;16-64 años;Españoles;Hombres;2020;103.064
09 Burgos;16-64 años;Españoles;Hombres;2019;104.176
09 Burgos;16-64 años;Españoles;Mujeres;2021;96.313
09 Burgos;16-64 años;Españoles;Mujeres;2020;96.836
09 Burgos;16-64 años;Españoles;Mujeres;2019;97.702
09 Burgos;16-64 años;Extranjeros;Ambos sexos;2021;23.194
09 Burgos;16-64 años;Extranjeros;Ambos sexos;2020;22.988
09 Burgos;16-64 años;Extranjeros;Ambos sexos;2019;21.324
09 Burgos;16-64 años;Extranjeros;Hombres;2021;11.673
09 Burgos;16-64 años;Extranjeros;Hombres;2020;11.427
09 Burgos;16-64 años;Extranjeros;Hombres;2019;10.599
09 Burgos;16-64 años;Extranjeros;Mujeres;2021;11.521
09 Burgos;16-64 años;Extranjeros;Mujeres;2020;11.561
09 Burgos;16-64 años;Extranjeros;Mujeres;2019;10.725
09 Burgos;16-64 años;% Extranjeros;Ambos sexos;2021;10,45
09 Burgos;16-64 años;% Extranjeros;Ambos sexos;2020;10,31
09 Burgos;16-64 años;% Extranjeros;Ambos sexos;2019;9,55
09 Burgos;16-64 años;% Extranjeros;Hombres;2021;10,23
09 Burgos;16-64 años;% Extranjeros;Hombres;2020;9,98
09 Burgos;16-64 años;% Extranjeros;Hombres;2019;9,23
09 Burgos;16-64 años;% Extranjeros;Mujeres;2021;10,68
09 Burgos;16-64 años;% Extranjeros;Mujeres;2020;10,67
09 Burgos;16-64 años;% Extranjeros;Mujeres;2019;9,89
09 Burgos;65 y más;TOTAL;Ambos sexos;2021;86.063
09 Burgos;65 y más;TOTAL;Ambos sexos;2020;85.789
09 Burgos;65 y más;TOTAL;Ambos sexos;2019;84.712
09 Burgos;65 y más;TOTAL;Hombres;2021;39.099
09 Burgos;65 y más;TOTAL;Hombres;2020;38.924
09 Burgos;65 y más;TOTAL;Hombres;2019;38.293
09 Burgos;65 y más;TOTAL;Mujeres;2021;46.964
09 Burgos;65 y más;TOTAL;Mujeres;2020;46.865
09 Burgos;65 y más;TOTAL;Mujeres;2019;46.419
09 Burgos;65 y más;Españoles;Ambos sexos;2021;85.079
09 Burgos;65 y más;Españoles;Ambos sexos;2020;84.879
09 Burgos;65 y más;Españoles;Ambos sexos;2019;83.941
09 Burgos;65 y más;Españoles;Hombres;2021;38.651
09 Burgos;65 y más;Españoles;Hombres;2020;38.514
09 Burgos;65 y más;Españoles;Hombres;2019;37.935
09 Burgos;65 y más;Españoles;Mujeres;2021;46.428
09 Burgos;65 y más;Españoles;Mujeres;2020;46.365
09 Burgos;65 y más;Españoles;Mujeres;2019;46.006
09 Burgos;65 y más;Extranjeros;Ambos sexos;2021;984
09 Burgos;65 y más;Extranjeros;Ambos sexos;2020;910
09 Burgos;65 y más;Extranjeros;Ambos sexos;2019;771
09 Burgos;65 y más;Extranjeros;Hombres;2021;448
09 Burgos;65 y más;Extranjeros;Hombres;2020;410
09 Burgos;65 y más;Extranjeros;Hombres;2019;358
09 Burgos;65 y más;Extranjeros;Mujeres;2021;536
09 Burgos;65 y más;Extranjeros;Mujeres;2020;500
09 Burgos;65 y más;Extranjeros;Mujeres;2019;413
09 Burgos;65 y más;% Extranjeros;Ambos sexos;2021;1,14
09 Burgos;65 y más;% Extranjeros;Ambos sexos;2020;1,06
09 Burgos;65 y más;% Extranjeros;Ambos sexos;2019;0,91
09 Burgos;65 y más;% Extranjeros;Hombres;2021;1,15
09 Burgos;65 y más;% Extranjeros;Hombres;2020;1,05
09 Burgos;65 y más;% Extranjeros;Hombres;2019;0,93
09 Burgos;65 y más;% Extranjeros;Mujeres;2021;1,14
09 Burgos;65 y más;% Extranjeros;Mujeres;2020;1,07
09 Burgos;65 y más;% Extranjeros;Mujeres;2019;0,89
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2021;389.558
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2020;391.850
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2019;394.151
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2021;192.951
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2020;194.084
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2019;195.388
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2021;196.607
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2020;197.766
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2019;198.763
10 Cáceres;TOTAL EDADES;Españoles;Ambos sexos;2021;375.955
10 Cáceres;TOTAL EDADES;Españoles;Ambos sexos;2020;378.213
10 Cáceres;TOTAL EDADES;Españoles;Ambos sexos;2019;380.987
10 Cáceres;TOTAL EDADES;Españoles;Hombres;2021;186.187
10 Cáceres;TOTAL EDADES;Españoles;Hombres;2020;187.261
10 Cáceres;TOTAL EDADES;Españoles;Hombres;2019;188.733
10 Cáceres;TOTAL EDADES;Españoles;Mujeres;2021;189.768
10 Cáceres;TOTAL EDADES;Españoles;Mujeres;2020;190.952
10 Cáceres;TOTAL EDADES;Españoles;Mujeres;2019;192.254
10 Cáceres;TOTAL EDADES;Extranjeros;Ambos sexos;2021;13.603
10 Cáceres;TOTAL EDADES;Extranjeros;Ambos sexos;2020;13.637
10 Cáceres;TOTAL EDADES;Extranjeros;Ambos sexos;2019;13.164
10 Cáceres;TOTAL EDADES;Extranjeros;Hombres;2021;6.764
10 Cáceres;TOTAL EDADES;Extranjeros;Hombres;2020;6.823
10 Cáceres;TOTAL EDADES;Extranjeros;Hombres;2019;6.655
10 Cáceres;TOTAL EDADES;Extranjeros;Mujeres;2021;6.839
10 Cáceres;TOTAL EDADES;Extranjeros;Mujeres;2020;6.814
10 Cáceres;TOTAL EDADES;Extranjeros;Mujeres;2019;6.509
10 Cáceres;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;3,49
10 Cáceres;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;3,48
10 Cáceres;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;3,34
10 Cáceres;TOTAL EDADES;% Extranjeros;Hombres;2021;3,51
10 Cáceres;TOTAL EDADES;% Extranjeros;Hombres;2020;3,52
10 Cáceres;TOTAL EDADES;% Extranjeros;Hombres;2019;3,41
10 Cáceres;TOTAL EDADES;% Extranjeros;Mujeres;2021;3,48
10 Cáceres;TOTAL EDADES;% Extranjeros;Mujeres;2020;3,45
10 Cáceres;TOTAL EDADES;% Extranjeros;Mujeres;2019;3,27
10 Cáceres;0-15 años;TOTAL;Ambos sexos;2021;50.032
10 Cáceres;0-15 años;TOTAL;Ambos sexos;2020;51.005
10 Cáceres;0-15 años;TOTAL;Ambos sexos;2019;51.928
10 Cáceres;0-15 años;TOTAL;Hombres;2021;25.676
10 Cáceres;0-15 años;TOTAL;Hombres;2020;26.147
10 Cáceres;0-15 años;TOTAL;Hombres;2019;26.635
10 Cáceres;0-15 años;TOTAL;Mujeres;2021;24.356
10 Cáceres;0-15 años;TOTAL;Mujeres;2020;24.858
10 Cáceres;0-15 años;TOTAL;Mujeres;2019;25.293
10 Cáceres;0-15 años;Españoles;Ambos sexos;2021;47.897
10 Cáceres;0-15 años;Españoles;Ambos sexos;2020;48.859
10 Cáceres;0-15 años;Españoles;Ambos sexos;2019;49.831
10 Cáceres;0-15 años;Españoles;Hombres;2021;24.590
10 Cáceres;0-15 años;Españoles;Hombres;2020;25.044
10 Cáceres;0-15 años;Españoles;Hombres;2019;25.562
10 Cáceres;0-15 años;Españoles;Mujeres;2021;23.307
10 Cáceres;0-15 años;Españoles;Mujeres;2020;23.815
10 Cáceres;0-15 años;Españoles;Mujeres;2019;24.269
10 Cáceres;0-15 años;Extranjeros;Ambos sexos;2021;2.135
10 Cáceres;0-15 años;Extranjeros;Ambos sexos;2020;2.146
10 Cáceres;0-15 años;Extranjeros;Ambos sexos;2019;2.097
10 Cáceres;0-15 años;Extranjeros;Hombres;2021;1.086
10 Cáceres;0-15 años;Extranjeros;Hombres;2020;1.103
10 Cáceres;0-15 años;Extranjeros;Hombres;2019;1.073
10 Cáceres;0-15 años;Extranjeros;Mujeres;2021;1.049
10 Cáceres;0-15 años;Extranjeros;Mujeres;2020;1.043
10 Cáceres;0-15 años;Extranjeros;Mujeres;2019;1.024
10 Cáceres;0-15 años;% Extranjeros;Ambos sexos;2021;4,27
10 Cáceres;0-15 años;% Extranjeros;Ambos sexos;2020;4,21
10 Cáceres;0-15 años;% Extranjeros;Ambos sexos;2019;4,04
10 Cáceres;0-15 años;% Extranjeros;Hombres;2021;4,23
10 Cáceres;0-15 años;% Extranjeros;Hombres;2020;4,22
10 Cáceres;0-15 años;% Extranjeros;Hombres;2019;4,03
10 Cáceres;0-15 años;% Extranjeros;Mujeres;2021;4,31
10 Cáceres;0-15 años;% Extranjeros;Mujeres;2020;4,20
10 Cáceres;0-15 años;% Extranjeros;Mujeres;2019;4,05
10 Cáceres;16-64 años;TOTAL;Ambos sexos;2021;248.162
10 Cáceres;16-64 años;TOTAL;Ambos sexos;2020;249.591
10 Cáceres;16-64 años;TOTAL;Ambos sexos;2019;251.771
10 Cáceres;16-64 años;TOTAL;Hombres;2021;126.803
10 Cáceres;16-64 años;TOTAL;Hombres;2020;127.687
10 Cáceres;16-64 años;TOTAL;Hombres;2019;129.047
10 Cáceres;16-64 años;TOTAL;Mujeres;2021;121.359
10 Cáceres;16-64 años;TOTAL;Mujeres;2020;121.904
10 Cáceres;16-64 años;TOTAL;Mujeres;2019;122.724
10 Cáceres;16-64 años;Españoles;Ambos sexos;2021;237.617
10 Cáceres;16-64 años;Españoles;Ambos sexos;2020;238.970
10 Cáceres;16-64 años;Españoles;Ambos sexos;2019;241.485
10 Cáceres;16-64 años;Españoles;Hombres;2021;121.601
10 Cáceres;16-64 años;Españoles;Hombres;2020;122.407
10 Cáceres;16-64 años;Españoles;Hombres;2019;123.865
10 Cáceres;16-64 años;Españoles;Mujeres;2021;116.016
